Unnamed: 0,Name,ID,Formation,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 24
,Ukraine  UEFA,1366,4-1-4-1,76,76,77,74,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,6,23,25.64,26.35,
,United States  CONCACAF,1387,4-3-3 Holding,75,75,75,75,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,6,23,22.18,23.39,
,Wales  UEFA,1367,4-2-3-1 Wide,74,74,74,72,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,4,23,27.27,25.78,
,Greece  UEFA,1338,4-3-3 Flat,73,72,75,73,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,6,23,25.45,25.0,
,Republic of Ireland  UEFA,1355,5-2-3,73,69,73,74,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,5,23,26.82,25.13,
,Hungary  UEFA,1886,5-2-3,73,74,69,73,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,4,23,26.27,26.04,
,Canada  CONCACAF,111455,4-3-3 Defend,73,75,73,70,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,2,23,27.18,26.26,
,Romania  UEFA,1356,4-3-3 Holding,72,72,72,68,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,5,23,27.45,25.52,
,Finland  UEFA,1334,5-3-2,71,72,72,67,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,3,23,27.91,27.35,
,Northern Ireland  UEFA,110081,5-3-2,70,65,70,71,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,2,23,28.55,27.39,
,Australia  AFC,1415,4-2-3-1 Narrow,70,75,69,70,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,5,23,27.27,27.48,
,Iceland  UEFA,1341,4-3-3 Flat,69,70,68,68,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,2,23,24.82,25.61,
,China PR  AFC,1413,4-4-2 Flat,69,70,69,67,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,3,23,29.36,29.13,
,New Zealand  OFC,111473,4-3-3 Attack,68,69,67,68,Slow,Little,Short,Organised,Little,Safe,Little,Organised,Contain,Deep,Cover,10,2,23,25.09,24.65,
