Unnamed: 0,Name,ID,Formation,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 24
,Venezuela  CONMEBOL,111487,4-4-2 Flat,73,77,73,70,Fast,Normal,Long,Organised,Normal,Normal,Normal,Organised,Press,Deep,Cover,10,2,23,23.82,23.91,
,Australia  AFC,1415,4-2-3-1 Wide,73,69,73,71,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Double,Medium,Cover,10,5,23,25.45,26.26,
,Peru  CONMEBOL,111108,4-1-4-1,72,73,73,72,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Double,Medium,Cover,10,3,23,26.55,25.65,
,Saudi Arabia  AFC,111114,4-2-3-1 Wide,72,73,72,73,Fast,Lots,Mixed,Organised,Normal,Risky,Lots,Organised,Press,Medium,Cover,10,4,23,29.55,27.17,
,Egypt  CAF,111130,4-2-3-1 Wide,72,68,75,71,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Press,Medium,Cover,10,5,23,26.18,26.74,
,Iceland  UEFA,1341,4-4-1-1 Midfield,72,73,74,69,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Double,Medium,Cover,10,2,23,29.27,27.78,
,Romania  UEFA,1356,4-2-3-1 Wide,72,72,72,70,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,10,5,23,27.09,26.04,
,Ecuador  CONMEBOL,111465,4-4-2 Flat,72,70,71,73,Balanced,Lots,Mixed,Organised,Lots,Safe,Lots,Organised,Press,Medium,Cover,10,5,23,26.82,25.91,
,Cameroon  CAF,1395,4-4-2 Flat,72,77,74,69,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,10,5,23,25.45,24.78,
,Northern Ireland  UEFA,110081,4-1-4-1,71,71,71,71,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,10,2,23,28.18,27.09,
,Hungary  UEFA,1886,3-4-3 Flat,71,73,69,71,Fast,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Press,Medium,Cover,10,4,23,27.0,26.57,
,South Africa  CAF,111099,4-3-3 Defend,71,72,70,70,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Deep,Cover,10,4,23,25.36,24.35,
,Bulgaria  UEFA,1327,4-2-3-1 Wide,70,70,69,67,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,10,5,23,27.27,27.09,
,Finland  UEFA,1334,4-4-1-1 Attack,70,71,69,66,Balanced,Normal,Mixed,Organised,Normal,Normal,Lots,Organised,Contain,Deep,Cover,10,3,23,23.82,25.26,
,Canada  CONCACAF,111455,4-1-4-1,69,73,72,66,Fast,Normal,Long,Organised,Lots,Normal,Lots,Organised,Contain,Deep,Cover,10,2,23,24.91,26.26,
,China PR  AFC,1413,4-3-3 Holding,69,67,68,68,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Cover,10,3,23,27.91,26.61,
,Bolivia  CONMEBOL,111451,5-4-1 Flat,67,75,66,66,Balanced,Normal,Mixed,Organised,Lots,Normal,Lots,Organised,Press,Medium,Cover,10,1,23,29.82,27.26,
,New Zealand  OFC,111473,4-3-3 Attack,66,71,65,64,Fast,Normal,Long,Organised,Normal,Risky,Lots,Organised,Double,High,Cover,10,2,23,25.18,23.96,
,India  AFC,111466,4-4-2 Holding,60,62,58,58,Balanced,Normal,Mixed,Organised,Normal,Safe,Normal,Organised,Contain,Medium,Cover,10,1,23,25.73,24.39,
