Name,Unnamed: 0_2010,Unnamed: 0_2014,Unnamed: 0_2018,Unnamed: 0_2022,ID_2010,ID_2014,ID_2018,ID_2022,Formation_2010,Formation_2014,Formation_2018,Formation_2022,Overall_2010,Overall_2014,Overall_2018,Overall_2022,Attack_2010,Attack_2014,Attack_2018,Attack_2022,Midfield_2010,Midfield_2014,Midfield_2018,Midfield_2022,Defence_2010,Defence_2014,Defence_2018,Defence_2022,Speed_2010,Speed_2014,Speed_2018,Speed_2022,Dribbling_2010,Dribbling_2014,Dribbling_2018,Dribbling_2022,Passing_2010,Passing_2014,Passing_2018,Passing_2022,Positioning_2010,Positioning_2014,Positioning_2018,Positioning_2022,Crossing_2010,Crossing_2014,Crossing_2018,Crossing_2022,Passing.1_2010,Passing.1_2014,Passing.1_2018,Passing.1_2022,Shooting_2010,Shooting_2014,Shooting_2018,Shooting_2022,Positioning.1_2010,Positioning.1_2014,Positioning.1_2018,Positioning.1_2022,Aggression_2010,Aggression_2014,Aggression_2018,Aggression_2022,Pressure_2010,Pressure_2014,Pressure_2018,Pressure_2022,Defender line_2010,Defender line_2014,Defender line_2018,Defender line_2022,Domestic prestige_2010,Domestic prestige_2014,Domestic prestige_2018,Domestic prestige_2022,International prestige_2010,International prestige_2014,International prestige_2018,International prestige_2022,Players_2010,Players_2014,Players_2018,Players_2022,Starting XI average age_2010,Starting XI average age_2014,Starting XI average age_2018,Starting XI average age_2022,Whole team average age_2010,Whole team average age_2014,Whole team average age_2018,Whole team average age_2022,Unnamed: 24_2010,Unnamed: 24_2014,Unnamed: 24_2018,Unnamed: 24_2022,Rank,Total Points,Previous Points,+/-,Match window,Appearances,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
china pr  afc,0,0,0,0,1413,0,1413,1413,4-4-1-1 Attack,0,4-3-3 Holding,4-4-2 Flat,66,0,69,69,63,0,67,70,64,0,68,69,64,0,68,67,Fast,0,Balanced,Slow,Little,0,Normal,Little,Long,0,Mixed,Short,Organised,0,Organised,Organised,Normal,0,Lots,Little,Normal,0,Normal,Safe,Lots,0,Normal,Little,Organised,0,Organised,Organised,Double,0,Press,Contain,High,0,Medium,Deep,Cover,0,Cover,Cover,20,0,10,10,4,0,3,3,30,0,23,23,26.55,0.0,27.91,29.36,26.93,0.0,26.61,29.13,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colombia  conmebol,0,0,0,0,0,111109,111109,0,0,4-4-2 Flat,4-2-2-2,0,0,77,79,0,0,77,81,0,0,78,77,0,0,75,78,0,0,Balanced,Fast,0,0,Lots,Normal,0,0,Mixed,Mixed,0,0,Organised,Organised,0,0,Normal,Normal,0,0,Normal,Risky,0,0,Normal,Lots,0,0,Organised,Organised,0,0,Press,Press,0,0,Medium,Medium,0,0,Cover,Cover,0,0,20,10,0,0,6,7,0,0,23,23,0,0.0,26.73,26.64,0.0,0.0,26.17,26.48,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
croatia  uefa,0,0,0,0,1328,0,0,0,4-1-2-1-2 Wide,0,0,0,78,0,0,0,77,0,0,0,74,0,0,0,73,0,0,0,Fast,0,0,0,Little,0,0,0,Mixed,0,0,0,Organised,0,0,0,Little,0,0,0,Risky,0,0,0,Normal,0,0,0,Free form,0,0,0,Press,0,0,0,Medium,0,0,0,Offside trap,0,0,0,20,0,0,0,13,0,0,0,30,0,0,0,26.82,0.0,0.0,0.0,26.37,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
czechia  uefa,0,0,0,0,1330,1330,1330,1330,4-1-2-1-2 Wide,4-2-3-1 Wide,4-4-2 Flat,3-4-2-1,78,75,75,77,73,73,75,79,74,74,74,76,74,73,73,76,Balanced,Balanced,Fast,Slow,Little,Normal,Normal,Little,Long,Mixed,Long,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Risky,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Double,Contain,High,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,15,14,5,5,30,23,23,23,26.91,26.36,25.09,25.18,27.73,27.0,24.83,25.78,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
côte d'ivoire  caf,0,0,0,0,0,111112,111112,0,0,4-3-3 Attack,4-3-3 Defend,0,0,76,77,0,0,77,76,0,0,74,78,0,0,74,77,0,0,Balanced,Fast,0,0,Normal,Normal,0,0,Mixed,Long,0,0,Organised,Organised,0,0,Lots,Normal,0,0,Normal,Risky,0,0,Normal,Lots,0,0,Organised,Organised,0,0,Press,Double,0,0,Medium,Medium,0,0,Cover,Cover,0,0,20,10,0,0,11,6,0,0,23,23,0,0.0,27.55,24.73,0.0,0.0,25.96,25.35,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denmark  uefa,0,0,0,0,1331,1331,1331,1331,4-4-1-1 Attack,4-2-3-1 Wide,4-3-3 Attack,4-2-3-1 Wide,75,74,77,78,72,75,76,77,72,74,79,79,74,74,75,78,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Risky,Safe,Normal,Normal,Normal,Little,Organised,Organised,Organised,Organised,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12,12,5,6,30,23,23,23,27.64,24.09,26.45,27.09,27.0,25.0,25.74,26.52,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ecuador  conmebol,0,0,0,0,111465,111465,111465,0,4-4-1-1 Attack,4-4-1-1 Midfield,4-4-2 Flat,0,72,72,72,0,67,73,70,0,69,73,71,0,65,67,73,0,Fast,Balanced,Balanced,0,Little,Lots,Lots,0,Mixed,Mixed,Mixed,0,Organised,Organised,Organised,0,Normal,Normal,Lots,0,Normal,Normal,Safe,0,Lots,Normal,Lots,0,Organised,Organised,Organised,0,Press,Press,Press,0,Medium,Medium,Medium,0,Cover,Cover,Cover,0,20,20,10,0,9,7,5,0,30,23,23,0,28.18,26.0,26.82,0.0,27.83,26.3,25.91,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egypt  caf,0,0,0,0,0,111130,111130,0,0,4-2-3-1 Wide,4-2-3-1 Wide,0,0,69,72,0,0,70,68,0,0,67,75,0,0,64,71,0,0,Balanced,Balanced,0,0,Normal,Normal,0,0,Mixed,Mixed,0,0,Organised,Organised,0,0,Normal,Normal,0,0,Normal,Normal,0,0,Normal,Little,0,0,Organised,Organised,0,0,Press,Press,0,0,Medium,Medium,0,0,Cover,Cover,0,0,20,10,0,0,10,5,0,0,23,23,0,0.0,25.18,26.18,0.0,0.0,27.17,26.74,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
england  uefa,0,0,0,0,1318,1318,1318,1318,4-2-3-1 Narrow,4-4-2 Flat,5-2-1-2,4-3-3 Attack,83,80,82,83,81,85,84,85,84,79,81,83,82,78,81,82,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Lots,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,17,17,8,8,30,23,23,23,27.55,22.91,25.0,26.09,26.93,23.91,24.65,24.43,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finland  uefa,0,0,0,0,1334,1334,1334,1334,4-4-1-1 Attack,4-5-1 Attack,4-4-1-1 Attack,5-3-2,72,69,70,71,67,68,71,72,69,71,69,72,70,69,66,67,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Normal,Normal,Lots,Little,Organised,Organised,Organised,Organised,Double,Contain,Contain,Contain,Medium,Deep,Deep,Deep,Cover,Cover,Cover,Cover,20,20,10,10,6,6,3,3,30,23,23,23,28.82,26.73,23.82,27.91,27.7,25.13,25.26,27.35,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
france  uefa,0,0,0,0,1335,1335,1335,1335,4-2-3-1 Narrow,4-3-3 Holding,4-2-3-1 Wide,3-5-2,83,81,84,85,82,82,82,85,82,80,85,86,82,80,82,83,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Short,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Risky,Normal,Safe,Safe,Little,Normal,Normal,Little,Organised,Organised,Organised,Organised,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,19,18,9,10,30,23,23,23,26.55,25.09,24.36,27.36,26.17,24.91,24.57,25.96,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
germany  uefa,0,0,0,0,1337,1337,1337,1337,4-2-3-1 Narrow,4-3-3 Attack,4-2-3-1 Wide,4-2-3-1 Wide,82,83,85,85,81,82,84,83,79,84,85,85,79,78,85,81,Fast,Fast,Slow,Slow,Little,Little,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Safe,Safe,Lots,Normal,Little,Little,Organised,Free form,Free form,Organised,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,19,19,10,10,30,23,23,23,25.55,23.91,26.55,25.64,24.8,23.91,24.96,25.78,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greece  uefa,0,0,0,0,1338,1338,1338,1338,3-4-2-1,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Flat,76,74,76,73,76,76,78,72,75,72,74,75,74,76,77,73,Balanced,Balanced,Fast,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Long,Short,Organised,Organised,Organised,Organised,Lots,Normal,Lots,Little,Safe,Normal,Risky,Safe,Little,Normal,Lots,Little,Organised,Organised,Organised,Organised,Contain,Press,Contain,Contain,Deep,Deep,Deep,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,13,13,6,6,27,23,23,23,27.0,25.64,28.09,25.45,26.63,25.17,26.04,25.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hungary  uefa,0,0,0,0,1886,1886,1886,1886,4-2-3-1 Narrow,3-4-2-1,3-4-3 Flat,5-2-3,72,69,71,73,69,69,73,74,72,67,69,69,66,67,71,73,Fast,Balanced,Fast,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Lots,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Lots,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,7,7,4,4,29,23,23,23,26.73,26.09,27.0,26.27,27.38,24.61,26.57,26.04,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iceland  uefa,0,0,0,0,0,0,1341,1341,0,0,4-4-1-1 Midfield,4-3-3 Flat,0,0,72,69,0,0,73,70,0,0,74,68,0,0,69,68,0,0,Balanced,Slow,0,0,Normal,Little,0,0,Mixed,Short,0,0,Organised,Organised,0,0,Normal,Little,0,0,Risky,Safe,0,0,Normal,Little,0,0,Organised,Organised,0,0,Double,Contain,0,0,Medium,Deep,0,0,Cover,Cover,0,0,10,10,0,0,2,2,0,0,23,23,0.0,0.0,29.27,24.82,0.0,0.0,27.78,25.61,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
india  afc,0,0,0,0,0,111466,111466,0,0,4-4-2 Flat,4-4-2 Holding,0,0,57,60,0,0,59,62,0,0,54,58,0,0,53,58,0,0,Balanced,Balanced,0,0,Normal,Normal,0,0,Mixed,Mixed,0,0,Organised,Organised,0,0,Normal,Normal,0,0,Normal,Safe,0,0,Normal,Normal,0,0,Organised,Organised,0,0,Press,Contain,0,0,Deep,Medium,0,0,Cover,Cover,0,0,20,10,0,0,1,1,0,0,23,23,0,0.0,24.82,25.73,0.0,0.0,23.87,24.39,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
italy  uefa,0,0,0,0,1343,1343,1343,1343,4-4-2 Flat,3-1-4-2,3-1-4-2,4-3-3 Flat,83,80,83,83,83,79,85,84,81,78,81,84,80,78,85,82,Fast,Balanced,Fast,Slow,Little,Normal,Normal,Little,Short,Mixed,Long,Short,Organised,Organised,Organised,Organised,Normal,Lots,Lots,Little,Normal,Normal,Normal,Safe,Normal,Normal,Lots,Little,Organised,Organised,Organised,Organised,Contain,Press,Contain,Contain,Deep,Deep,Deep,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,19,19,9,9,30,23,23,23,28.91,25.82,26.55,27.18,27.17,25.65,25.65,27.13,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
korea republic  afc,0,0,0,0,974,974,0,0,4-1-2-1-2 Wide,4-2-3-1 Wide,0,0,70,72,0,0,67,75,0,0,69,71,0,0,65,69,0,0,Fast,Balanced,0,0,Little,Normal,0,0,Mixed,Mixed,0,0,Organised,Organised,0,0,Normal,Normal,0,0,Normal,Risky,0,0,Lots,Normal,0,0,Organised,Organised,0,0,Press,Press,0,0,Medium,Medium,0,0,Cover,Cover,0,0,20,20,0,0,10,12,0,0,30,23,0,0,26.55,24.27,0.0,0.0,25.57,25.04,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mexico  concacaf,0,0,0,0,1386,1386,1386,1386,4-2-3-1 Narrow,5-3-2,4-4-1-1 Midfield,4-3-3 Holding,77,74,78,77,73,78,79,79,74,73,79,78,74,72,75,74,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Risky,Normal,Safe,Normal,Normal,Lots,Little,Organised,Organised,Free form,Organised,Press,Press,Press,Contain,Medium,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,15,15,7,7,30,23,23,23,27.09,25.82,26.18,26.09,26.2,25.43,26.91,26.83,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
netherlands  uefa,0,0,0,0,105035,105035,105035,105035,4-2-3-1 Narrow,5-3-2,5-3-2,5-2-1-2,80,79,80,82,81,84,79,82,80,76,80,81,76,75,80,83,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Normal,Normal,Safe,Normal,Normal,Normal,Little,Organised,Free form,Free form,Organised,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,17,17,8,8,25,23,23,23,26.82,25.18,23.82,26.0,26.4,25.13,24.65,25.7,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new zealand  ofc,0,0,0,0,111473,111473,111473,111473,4-3-3 Flat,4-3-3 False 9,4-3-3 Attack,4-3-3 Attack,62,65,66,68,60,65,71,69,57,55,65,67,58,64,64,68,Fast,Balanced,Fast,Slow,Little,Lots,Normal,Little,Long,Mixed,Long,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Normal,Risky,Safe,Lots,Little,Lots,Little,Organised,Organised,Organised,Organised,Double,Press,Double,Contain,High,Deep,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,6,6,2,2,30,23,23,23,29.18,22.73,25.18,25.09,25.97,24.17,23.96,24.65,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
northern ireland  uefa,0,0,0,0,110081,110081,110081,110081,4-4-2 Flat,4-4-1-1 Midfield,4-1-4-1,5-3-2,71,70,71,70,66,71,71,65,66,69,71,70,70,69,71,71,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Risky,Normal,Normal,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,High,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,5,5,2,2,30,23,23,23,27.27,27.18,28.18,28.55,25.43,26.35,27.09,27.39,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
norway  uefa,0,0,0,0,1352,1352,1352,1352,4-4-2 Flat,4-4-2 Flat,4-4-2 Flat,4-1-4-1,75,72,74,76,75,71,74,81,73,73,74,76,72,70,73,73,Fast,Fast,Fast,Slow,Little,Normal,Normal,Little,Long,Mixed,Long,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Normal,Risky,Risky,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,High,Deep,Medium,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,10,9,4,4,30,23,23,23,26.64,24.91,24.73,23.82,27.33,24.22,24.57,25.04,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
