Unnamed: 0,Name,ID,Formation,Overall,Attack,Midfield,Defence,Speed,Dribbling,Passing,Positioning,Crossing,Passing.1,Shooting,Positioning.1,Aggression,Pressure,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age,Unnamed: 24
,Côte d'Ivoire  CAF,111112,4-3-3 Attack,76,77,74,74,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Cover,20,11,23,27.55,25.96,
,Switzerland  UEFA,1364,4-2-3-1 Narrow,76,74,76,77,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,11,23,23.64,24.17,
,Uruguay  CONMEBOL,1377,4-4-2 Holding,76,82,75,76,Fast,Normal,Mixed,Organised,Little,Normal,Lots,Organised,Press,Deep,Cover,20,12,23,28.09,27.22,
,Chile  CONMEBOL,111459,3-1-4-2,76,77,75,70,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,10,23,25.55,25.78,
,Czechia  UEFA,1330,4-2-3-1 Wide,75,73,74,73,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,14,23,26.36,27.0,
,Poland  UEFA,1353,4-2-3-1 Wide,75,77,73,74,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,11,23,26.18,24.96,
,Sweden  UEFA,1363,4-3-3 Holding,75,77,74,74,Balanced,Normal,Short,Organised,Normal,Safe,Lots,Organised,Press,Medium,Cover,20,11,23,27.64,26.7,
,Cameroon  CAF,1395,4-1-4-1,75,75,73,76,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Cover,20,12,23,25.55,24.65,
,Denmark  UEFA,1331,4-2-3-1 Wide,74,75,74,74,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,12,23,24.09,25.0,
,Greece  UEFA,1338,4-2-3-1 Wide,74,76,72,76,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Cover,20,13,23,25.64,25.17,
,Paraguay  CONMEBOL,1375,4-2-3-1 Wide,74,78,73,70,Slow,Lots,Mixed,Organised,Little,Safe,Normal,Organised,Press,Deep,Cover,20,8,23,30.73,29.61,
,Mexico  CONCACAF,1386,5-3-2,74,78,73,72,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Cover,20,15,23,25.82,25.43,
,United States  CONCACAF,1387,4-4-2 Flat,74,75,72,71,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,12,23,27.45,25.83,
,Austria  UEFA,1322,4-2-3-1 Wide,73,72,74,71,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,10,23,25.0,24.61,
,Republic of Ireland  UEFA,1355,4-4-1-1 Midfield,73,75,75,73,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,10,23,27.82,27.22,
,Romania  UEFA,1356,4-2-3-1 Wide,73,73,72,71,Balanced,Little,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Cover,20,10,23,26.09,26.17,
,Scotland  UEFA,1359,4-2-3-1 Wide,73,75,74,68,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,9,23,26.0,26.83,
,Slovenia  UEFA,1361,4-2-3-1 Wide,73,71,73,71,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Cover,20,10,23,26.36,26.17,
,Wales  UEFA,1367,4-2-3-1 Wide,73,70,74,72,Balanced,Little,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,8,23,24.64,25.13,
,Peru  CONMEBOL,111108,4-3-3 Flat,72,77,69,70,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,6,23,26.91,27.39,
,Norway  UEFA,1352,4-4-2 Flat,72,71,73,70,Fast,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Deep,Cover,20,9,23,24.91,24.22,
,Ecuador  CONMEBOL,111465,4-4-1-1 Midfield,72,73,73,67,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,7,23,26.0,26.3,
,Korea Republic  AFC,974,4-2-3-1 Wide,72,75,71,69,Balanced,Normal,Mixed,Organised,Normal,Risky,Normal,Organised,Press,Medium,Cover,20,12,23,24.27,25.04,
,Venezuela  CONMEBOL,111487,4-4-2 Holding,71,72,69,72,Slow,Normal,Short,Organised,Little,Safe,Little,Organised,Press,Deep,Cover,20,5,23,28.09,26.96,
,Northern Ireland  UEFA,110081,4-4-1-1 Midfield,70,71,69,69,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,5,23,27.18,26.35,
,Egypt  CAF,111130,4-2-3-1 Wide,69,70,67,64,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,10,23,25.18,27.17,
,Finland  UEFA,1334,4-5-1 Attack,69,68,71,69,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Contain,Deep,Cover,20,6,23,26.73,25.13,
,Hungary  UEFA,1886,3-4-2-1,69,69,67,67,Balanced,Normal,Mixed,Organised,Lots,Normal,Normal,Organised,Press,Medium,Cover,20,7,23,26.09,24.61,
,Australia  AFC,1415,4-2-3-1 Wide,69,72,70,65,Balanced,Normal,Mixed,Organised,Lots,Safe,Little,Organised,Press,Medium,Cover,20,11,23,25.91,24.91,
,South Africa  CAF,111099,4-2-3-1 Wide,69,65,69,69,Balanced,Lots,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Medium,Cover,20,8,23,23.27,22.78,
,Bulgaria  UEFA,1327,4-2-3-1 Wide,68,66,69,67,Balanced,Normal,Mixed,Organised,Normal,Normal,Little,Organised,Contain,Medium,Cover,20,10,23,26.27,26.52,
,New Zealand  OFC,111473,4-3-3 False 9,65,65,55,64,Balanced,Lots,Mixed,Organised,Normal,Normal,Little,Organised,Press,Deep,Cover,20,6,23,22.73,24.17,
,Bolivia  CONMEBOL,111451,4-1-2-1-2 Wide,63,68,57,63,Slow,Normal,Short,Organised,Little,Safe,Normal,Organised,Press,Medium,Cover,20,2,23,25.27,25.13,
,India  AFC,111466,4-4-2 Flat,57,59,54,53,Balanced,Normal,Mixed,Organised,Normal,Normal,Normal,Organised,Press,Deep,Cover,20,1,23,24.82,23.87,
