home_team,away_team,home_score,away_score,Attendance,Venue,Round,Date,Score,Host,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
Tunisia,Saudi Arabia,2,2,66000,"Allianz Arena, München",Group stage,14-06-2006,2–2,Germany,2006,Yasser Al-Qahtani · 57|Sami Al-Jaber · 84,"['23&rsquor;|1:0|Ziad Jaziri', '90+2&rsquor;|2:2|Radhi Jaïdi']","['57&rsquor;|1:1|Yasser Al-Qahtani', '84&rsquor;|1:2|Sami Al-Jaber']",,,,,,,,,,,,,,,"['35&rsquor;|1:0|Karim Haggui', '36&rsquor;|1:0|Riadh Bouazizi', '65&rsquor;|1:1|Adel Chedli', '79&rsquor;|1:1|Yassine Chikhaoui']",,"['55&rsquor;|1:0|Mehdi Nafti|for Riadh Bouazizi', '69&rsquor;|1:1|Kaies Ghodhbane|for Adel Chedli', '82&rsquor;|1:1|Karim Essediri|for Yassine Chikhaoui']","['67&rsquor;|1:1|Malek Mouath|for Nawaf Al-Temyat', '75&rsquor;|1:1|Mohammed Ameen|for Mohammed Noor', '82&rsquor;|1:1|Saad Al-Harthi|for Yasser Al-Qahtani']"
Germany,Poland,1,0,65000,"Signal Iduna Park, Dortmund",Group stage,14-06-2006,1–0,Germany,2006,,['90+1&rsquor;|1:0|Oliver Neuville'],,,,,,,,,,,,,,,Radosław Sobolewski · 75,"['58&rsquor;|0:0|Michael Ballack', '68&rsquor;|0:0|David Odonkor', '70&rsquor;|0:0|Christoph Metzelder']","['3&rsquor;|0:0|Jacek Krzynówek', '28&rsquor;|0:0|Radosław Sobolewski', '89&rsquor;|0:0|Artur Boruc']","['64&rsquor;|0:0|David Odonkor|for Arne Friedrich', '71&rsquor;|0:0|Oliver Neuville|for Lukas Podolski', '77&rsquor;|0:0|Tim Borowski|for Bastian Schweinsteiger']","['77&rsquor;|0:0|Mariusz Lewandowski|for Jacek Krzynówek', '83&rsquor;|0:0|Dariusz Dudka|for Michał Żewłakow', '90&rsquor;|0:0|Paweł Brożek|for Ireneusz Jeleń']"
Korea Republic,Togo,2,1,48000,"Commerzbank-Arena, Frankfurt am Main",Group stage,13-06-2006,2–1,Germany,2006,Mohamed Kader · 31,"['54&rsquor;|1:1|Lee Chun-soo', '72&rsquor;|2:1|Ahn Jung-hwan']",['31&rsquor;|0:1|Mohamed Kader'],,,,,,,,,,,,,,Jean-Paul Abalo · 53,"['41&rsquor;|0:1|Kim Young-chul', '51&rsquor;|0:1|Lee Chun-soo']","['23&rsquor;|0:0|Jean-Paul Abalo', '24&rsquor;|0:0|Alaixys Romao', '90+2&rsquor;|2:1|Massamasso Tchangai']","['46&rsquor;|0:1|Ahn Jung-hwan|for Kim Jin-kyu', '68&rsquor;|1:1|Kim Nam-il|for Lee Eul-yong', '83&rsquor;|2:1|Kim Sang-sik|for Cho Jae-jin']","['55&rsquor;|1:1|Assimiou Touré|for Yao Junior Sènaya', '62&rsquor;|1:1|Richmond Forson|for Ludovic Assemoassa', '86&rsquor;|2:1|Yao Aziawonou|for Moustapha Salifou']"
France,Switzerland,0,0,52000,"Mercedes-Benz Arena, Stuttgart",Group stage,13-06-2006,0–0,Germany,2006,,,,,,,,,,,,,,,,,,"['64&rsquor;|0:0|Éric Abidal', '72&rsquor;|0:0|Zinédine Zidane', '90+3&rsquor;|0:0|Willy Sagnol']","['42&rsquor;|0:0|Ludovic Magnin', '45&rsquor;|0:0|Marco Streller', '56&rsquor;|0:0|Philipp Degen', '72&rsquor;|0:0|Ricardo Cabanas', '90+3&rsquor;|0:0|Alexander Frei']","['70&rsquor;|0:0|Louis Saha|for Franck Ribéry', '84&rsquor;|0:0|Vikash Dhorasoo|for Sylvain Wiltord']","['56&rsquor;|0:0|Daniel Gygax|for Marco Streller', '75&rsquor;|0:0|Johan Djourou|for Patrick Müller', '82&rsquor;|0:0|Xavier Margairaz|for Raphaël Wicky']"
Brazil,Croatia,1,0,72000,"Olympiastadion Berlin, Berlin",Group stage,13-06-2006,1–0,Germany,2006,,['44&rsquor;|1:0|Kaká'],,,,,,,,,,,,,,,,['42&rsquor;|0:0|Emerson'],"['32&rsquor;|0:0|Niko Kovač', '67&rsquor;|1:0|Robert Kovač', '90&rsquor;|1:0|Igor Tudor']",['69&rsquor;|1:0|Robinho|for Ronaldo'],"['41&rsquor;|0:0|Jerko Leko|for Niko Kovač', '56&rsquor;|1:0|Ivica Olić|for Ivan Klasnić']"
Australia,Japan,3,1,46000,"Fritz-Walter-Stadion, Kaiserslautern",Group stage,12-06-2006,3–1,Germany,2006,Shunsuke Nakamura · 26,"['84&rsquor;|1:1|Tim Cahill', '89&rsquor;|2:1|Tim Cahill', '90+2&rsquor;|3:1|John Aloisi']",['26&rsquor;|0:1|Shunsuke Nakamura'],,,,,,,,,,,,,,,"['33&rsquor;|0:1|Vince Grella', '58&rsquor;|0:1|Craig Moore', '69&rsquor;|0:1|Tim Cahill', '78&rsquor;|0:1|John Aloisi']","['31&rsquor;|0:1|Tsuneyasu Miyamoto', '40&rsquor;|0:1|Naohiro Takahara', '68&rsquor;|0:1|Teruyuki Moniwa']","['53&rsquor;|0:1|Tim Cahill|for Mark Bresciano', '61&rsquor;|0:1|Joshua Kennedy|for Craig Moore', '75&rsquor;|0:1|John Aloisi|for Luke Wilkshire']","['56&rsquor;|0:1|Teruyuki Moniwa|for Keisuke Tsuboi', '79&rsquor;|0:1|Shinji Ono|for Atsushi Yanagisawa', '90&rsquor;|2:1|Masashi Oguro|for Teruyuki Moniwa']"
United States,Czech Republic,0,3,52000,"Veltins-Arena, Gelsenkirchen",Group stage,12-06-2006,0–3,Germany,2006,Jan Koller · 5|Tomáš Rosický · 36|Tomáš Rosický · 76,,"['5&rsquor;|0:1|Jan Koller', '36&rsquor;|0:2|Tomáš Rosický', '76&rsquor;|0:3|Tomáš Rosický']",,,,,,,,,,,,,,,"['5&rsquor;|0:1|Oguchi Onyewu', '60&rsquor;|0:2|Claudio Reyna']","['16&rsquor;|0:1|David Rozehnal', '59&rsquor;|0:2|Vratislav Lokvenc', '81&rsquor;|0:3|Tomáš Rosický', '88&rsquor;|0:3|Zdeněk Grygera']","[""46&rsquor;|0:2|John O'Brien|for Steve Cherundolo"", '46&rsquor;|0:2|Eddie Johnson|for Pablo Mastroeni', '77&rsquor;|0:3|Josh Wolff|for Brian McBride']","['45&rsquor;|0:2|Vratislav Lokvenc|for Jan Koller', '82&rsquor;|0:3|Jan Polák|for Karel Poborský', '86&rsquor;|0:3|Jiří Štajner|for Tomáš Rosický']"
Italy,Ghana,2,0,43000,"HDI-Arena, Hannover",Group stage,12-06-2006,2–0,Germany,2006,,"['40&rsquor;|1:0|Andrea Pirlo', '83&rsquor;|2:0|Vincenzo Iaquinta']",,,,,,,,,,,,,,,,"['10&rsquor;|0:0|Daniele De Rossi', '62&rsquor;|1:0|Mauro Camoranesi', '88&rsquor;|2:0|Vincenzo Iaquinta']","['41&rsquor;|1:0|Sulley Muntari', '65&rsquor;|1:0|Asamoah Gyan']","['56&rsquor;|1:0|Mauro Camoranesi|for Francesco Totti', '64&rsquor;|1:0|Vincenzo Iaquinta|for Alberto Gilardino', '82&rsquor;|1:0|Alessandro Del Piero|for Luca Toni']","['46&rsquor;|1:0|Illiasu Shilla|for Emmanuel Pappoe', '68&rsquor;|1:0|Razak Pimpong|for Matthew Amoah', '89&rsquor;|2:0|Alex Tachie-Mensah|for Asamoah Gyan']"
Serbia and Montenegro,Netherlands,0,1,37216,"Red Bull Arena, Leipzig",Group stage,11-06-2006,0–1,Germany,2006,Arjen Robben · 18,,['18&rsquor;|0:1|Arjen Robben'],,,,,,,,,,,,,,,"['34&rsquor;|0:1|Dejan Stanković', '64&rsquor;|0:1|Ognjen Koroman', '81&rsquor;|0:1|Ivica Dragutinović', '90&rsquor;|0:1|Goran Gavrančić']","['56&rsquor;|0:1|Giovanni van Bronckhorst', '85&rsquor;|0:1|Joris Mathijsen']","['43&rsquor;|0:1|Ognjen Koroman|for Nenad Đorđević', '46&rsquor;|0:1|Nikola Žigić|for Savo Milošević', '67&rsquor;|0:1|Danijel Ljuboja|for Mateja Kežman']","['60&rsquor;|0:1|Denny Landzaat|for Mark van Bommel', '69&rsquor;|0:1|Dirk Kuyt|for Ruud van Nistelrooy', '86&rsquor;|0:1|Khalid Boulahrouz|for Joris Mathijsen']"
Mexico,IR Iran,3,1,41000,"Max-Morlock-Stadion, Nürnberg",Group stage,11-06-2006,3–1,Germany,2006,Yahya Golmohammadi · 36,"['28&rsquor;|1:0|Omar Bravo', '76&rsquor;|2:1|Omar Bravo', '79&rsquor;|3:1|Sinha']",['36&rsquor;|1:1|Yahya Golmohammadi'],,,,,,,,,,,,,,,"['18&rsquor;|0:0|Gerardo Torrado', '90+1&rsquor;|3:1|Carlos Salcido']",['55&rsquor;|1:1|Javad Nekounam'],"['46&rsquor;|1:1|Luis Ernesto Pérez|for Gerardo Torrado', '46&rsquor;|1:1|Sinha|for Guillermo Franco', '52&rsquor;|1:1|Francisco Fonseca|for Jared Borgetti']","['63&rsquor;|1:1|Mehrzad Madanchi|for Ali Karimi', '81&rsquor;|3:1|Arash Borhani|for Mohammad Nosrati']"
Angola,Portugal,0,1,45000,"RheinEnergieSTADION, Köln",Group stage,11-06-2006,0–1,Germany,2006,Pauleta · 4,,['4&rsquor;|0:1|Pauleta'],,,,,,,,,,,,,,,"['28&rsquor;|0:1|Jamba', '45+3&rsquor;|0:1|Locó', '52&rsquor;|0:1|André Macanga']","['26&rsquor;|0:1|Cristiano Ronaldo', '79&rsquor;|0:1|Nuno Valente']","['60&rsquor;|0:1|Mantorras|for Akwá', '70&rsquor;|0:1|Édson Nobre|for Zé Kalanga', '80&rsquor;|0:1|Miloy|for Paulo Figueiredo']","['60&rsquor;|0:1|Costinha|for Cristiano Ronaldo', '72&rsquor;|0:1|Maniche|for Petit', '83&rsquor;|0:1|Hugo Viana|for Tiago Mendes']"
England,Paraguay,1,0,48000,"Commerzbank-Arena, Frankfurt am Main",Group stage,10-06-2006,1–0,Germany,2006,,,,Carlos Gamarra (OG) · 3,,,,,,,,,,,,,,"['19&rsquor;|1:0|Steven Gerrard', '63&rsquor;|1:0|Peter Crouch']",['22&rsquor;|1:0|Nelson Valdez'],"['56&rsquor;|1:0|Stewart Downing|for Michael Owen', '83&rsquor;|1:0|Owen Hargreaves|for Joe Cole']","['8&rsquor;|1:0|Aldo Bobadilla|for Justo Villar', '68&rsquor;|1:0|Nelson Cuevas|for Carlos Bonet', '82&rsquor;|1:0|Jorge Martín Núñez|for Delio Toledo']"
Trinidad and Tobago,Sweden,0,0,62959,"Signal Iduna Park, Dortmund",Group stage,10-06-2006,0–0,Germany,2006,,,,,,,,,,,,,,,,Avery John · 46,,"['15&rsquor;|0:0|Avery John', '74&rsquor;|0:0|Dwight Yorke']",['90&rsquor;|0:0|Henrik Larsson'],"['52&rsquor;|0:0|Cornell Glen|for Collin Samuel', '66&rsquor;|0:0|Aurtis Whitley|for Densill Theobald']","['62&rsquor;|0:0|Marcus Allbäck|for Anders Svensson', '78&rsquor;|0:0|Kim Källström|for Tobias Linderoth', '78&rsquor;|0:0|Mattias Jonson|for Christian Wilhelmsson']"
Argentina,Côte d'Ivoire,2,1,49480,"Volksparkstadion, Hamburg",Group stage,10-06-2006,2–1,Germany,2006,Didier Drogba · 82,"['24&rsquor;|1:0|Hernán Crespo', '38&rsquor;|2:0|Javier Saviola']",['82&rsquor;|2:1|Didier Drogba'],,,,,,,,,,,,,,,"['41&rsquor;|2:0|Javier Saviola', '48&rsquor;|2:0|Gabriel Heinze', '81&rsquor;|2:0|Lucho González']","['62&rsquor;|2:0|Emmanuel Eboué', '90+1&rsquor;|2:1|Didier Drogba']","['64&rsquor;|2:0|Rodrigo Palacio|for Hernán Crespo', '75&rsquor;|2:0|Lucho González|for Javier Saviola', '90&rsquor;|2:1|Pablo Aimar|for Juan Román Riquelme']","['55&rsquor;|2:0|Aruna Dindane|for Bonaventure Kalou', '62&rsquor;|2:0|Bakari Koné|for Kanga Akalé', '77&rsquor;|2:0|Arouna Koné|for Abdul Kader Keïta']"
Germany,Costa Rica,4,2,64950,"Allianz Arena, München",Group stage,09-06-2006,4–2,Germany,2006,Paulo Wanchope · 12|Paulo Wanchope · 73,"['6&rsquor;|1:0|Philipp Lahm', '17&rsquor;|2:1|Miroslav Klose', '61&rsquor;|3:1|Miroslav Klose', '87&rsquor;|4:2|Torsten Frings']","['12&rsquor;|1:1|Paulo Wanchope', '73&rsquor;|3:2|Paulo Wanchope']",,,,,,,,,,,,,,,,['30&rsquor;|2:1|Danny Fonseca'],"['72&rsquor;|3:1|Sebastian Kehl|for Tim Borowski', '79&rsquor;|3:2|Oliver Neuville|for Miroslav Klose', '90&rsquor;|4:2|David Odonkor|for Bernd Schneider']","['66&rsquor;|3:1|Jervis Drummond|for Gilberto Martínez', '78&rsquor;|3:2|Christian Bolaños|for Mauricio Solís', '90&rsquor;|4:2|Randall Azofeifa|for Rónald Gómez']"
Poland,Ecuador,0,2,52000,"Veltins-Arena, Gelsenkirchen",Group stage,09-06-2006,0–2,Germany,2006,Carlos Tenorio · 24|Agustín Delgado · 80,,"['24&rsquor;|0:1|Carlos Tenorio', '80&rsquor;|0:2|Agustín Delgado']",,,,,,,,,,,,,,,['37&rsquor;|0:1|Euzebiusz Smolarek'],"['31&rsquor;|0:1|Iván Hurtado', '70&rsquor;|0:1|Édison Méndez']","['67&rsquor;|0:1|Ireneusz Jeleń|for Radosław Sobolewski', '78&rsquor;|0:1|Kamil Kosowski|for Jacek Krzynówek', '83&rsquor;|0:2|Paweł Brożek|for Maciej Żurawski']","['65&rsquor;|0:1|Iván Kaviedes|for Carlos Tenorio', '69&rsquor;|0:1|Jorge Guagua|for Iván Hurtado', '83&rsquor;|0:2|Patricio Urrutia|for Agustín Delgado']"
Germany,Brazil,0,2,69029,"Nissan Stadium, Yokohama",Final,30-06-2002,0–2,"Korea Republic, Japan",2002,Ronaldo · 67|Ronaldo · 79,,"['67&rsquor;|0:1|Ronaldo', '79&rsquor;|0:2|Ronaldo']",,,,,,,,,,,,,,,['9&rsquor;|0:0|Miroslav Klose'],['6&rsquor;|0:0|Roque Júnior'],"['74&rsquor;|0:1|Oliver Bierhoff|for Miroslav Klose', '77&rsquor;|0:1|Gerald Asamoah|for Jens Jeremies', '84&rsquor;|0:2|Christian Ziege|for Marco Bode']","['85&rsquor;|0:2|Juninho Paulista|for Ronaldinho', '90&rsquor;|0:2|Denílson|for Ronaldo']"
Korea Republic,Türkiye,2,3,63483,"Daegu Main Stadium, Daegu",Third-place match,29-06-2002,2–3,"Korea Republic, Japan",2002,Hakan Şükür · 1|İlhan Mansız · 13|İlhan Mansız · 32,"['9&rsquor;|1:1|Lee Eul-yong', '90+3&rsquor;|2:3|Song Chong-gug']","['1&rsquor;|0:1|Hakan Şükür', '13&rsquor;|1:2|İlhan Mansız', '32&rsquor;|1:3|İlhan Mansız']",,,,,,,,,,,,,,,['23&rsquor;|1:2|Lee Eul-yong'],"['50&rsquor;|1:3|Tugay Kerimoğlu', '83&rsquor;|1:3|Rüştü Reçber']","['46&rsquor;|1:3|Kim Tae-young|for Hong Myung-bo', '65&rsquor;|1:3|Cha Du-ri|for Lee Eul-yong', '79&rsquor;|1:3|Choi Tae-uk|for Seol Ki-hyeon']","['41&rsquor;|1:3|Hakan Ünsal|for Emre Belözoğlu', '76&rsquor;|1:3|Okan Buruk|for Ümit Davala', '86&rsquor;|1:3|Tayfur Havutçu|for Yıldıray Baştürk']"
Brazil,Türkiye,1,0,61058,"Saitama Stadium 2002, Saitama",Semi-finals,26-06-2002,1–0,"Korea Republic, Japan",2002,,['49&rsquor;|1:0|Ronaldo'],,,,,,,,,,,,,,,,['41&rsquor;|0:0|Gilberto Silva'],"['59&rsquor;|1:0|Tugay Kerimoğlu', '90&rsquor;|1:0|Hasan Şaş']","['68&rsquor;|1:0|Luizão|for Ronaldo', '75&rsquor;|1:0|Denílson|for Edílson', '85&rsquor;|1:0|Juliano Belletti|for José Kléberson']","['62&rsquor;|1:0|İlhan Mansız|for Emre Belözoğlu', '74&rsquor;|1:0|Muzzy Izzet|for Ümit Davala', '88&rsquor;|1:0|Arif Erdem|for Yıldıray Baştürk']"
Germany,Korea Republic,1,0,65625,"Seoul World Cup Stadium, Seoul",Semi-finals,25-06-2002,1–0,"Korea Republic, Japan",2002,,['75&rsquor;|1:0|Michael Ballack'],,,,,,,,,,,,,,,,"['71&rsquor;|0:0|Michael Ballack', '85&rsquor;|1:0|Oliver Neuville']",['90+4&rsquor;|1:0|Lee Min-sung'],"['70&rsquor;|0:0|Oliver Bierhoff|for Miroslav Klose', '85&rsquor;|1:0|Jens Jeremies|for Bernd Schneider', '88&rsquor;|1:0|Gerald Asamoah|for Oliver Neuville']","['54&rsquor;|0:0|Ahn Jung-hwan|for Hwang Sun-hong', '56&rsquor;|0:0|Lee Min-sung|for Choi Jin-cheul', '80&rsquor;|1:0|Seol Ki-hyeon|for Hong Myung-bo']"
Spain,Korea Republic,0,0,42114,"Guus Hiddink Stadium, Gwangju",Quarter-finals,22-06-2002,(3) 0–0 (5),"Korea Republic, Japan",2002,,,,,,,,,,"['2|1:1|Fernando Hierro', '4|2:2|Rubén Baraja', '6|3:3|Xavi']","['1|0:1|Hwang Sun-hong', '3|1:2|Park Ji-sung', '5|2:3|Seol Ki-hyeon', '7|3:4|Ahn Jung-hwan', '9|3:5|Hong Myung-bo']",['8|3:4|Joaquín'],,,,,,"['53&rsquor;|0:0|Javier de Pedro', '111&rsquor;|0:0|Fernando Morientes']",['52&rsquor;|0:0|Yoo Sang-chul'],"['70&rsquor;|0:0|Gaizka Mendieta|for Javier de Pedro', '80&rsquor;|0:0|Luis Enrique|for Juan Carlos Valerón', '93&rsquor;|0:0|Xavi|for Iván Helguera']","['32&rsquor;|0:0|Lee Eul-yong|for Kim Nam-il', '60&rsquor;|0:0|Lee Chun-soo|for Yoo Sang-chul', '90&rsquor;|0:0|Hwang Sun-hong|for Kim Tae-young']"
Senegal,Türkiye,0,1,44233,"Yanmar Stadium Nagai, Osaka",Quarter-finals,22-06-2002,0–1,"Korea Republic, Japan",2002,İlhan Mansız · 94,,['94&rsquor;|0:1|İlhan Mansız'],,,,,,,,,,,,,,,"['12&rsquor;|0:0|Omar Daf', '63&rsquor;|0:0|Aliou Cissé']","['22&rsquor;|0:0|Emre Belözoğlu', '87&rsquor;|0:0|İlhan Mansız']",,"['67&rsquor;|0:0|İlhan Mansız|for Hakan Şükür', '91&rsquor;|0:0|Arif Erdem|for Emre Belözoğlu']"
England,Brazil,1,2,47436,"Daejeon World Cup Stadium, Daejeon",Quarter-finals,21-06-2002,1–2,"Korea Republic, Japan",2002,Rivaldo · 45+2|Ronaldinho · 50,['23&rsquor;|1:0|Michael Owen'],"['45+2&rsquor;|1:1|Rivaldo', '50&rsquor;|1:2|Ronaldinho']",,,,,,,,,,,,Ronaldinho · 57,,,"['75&rsquor;|1:2|Paul Scholes', '85&rsquor;|1:2|Rio Ferdinand']",,"['56&rsquor;|1:2|Kieron Dyer|for Trevor Sinclair', '79&rsquor;|1:2|Darius Vassell|for Michael Owen', '80&rsquor;|1:2|Teddy Sheringham|for Andy Cole']",['70&rsquor;|1:2|Edílson|for Ronaldo']
Germany,United States,1,0,37337,"Munsu Cup Stadium, Ulsan",Quarter-finals,21-06-2002,1–0,"Korea Republic, Japan",2002,,['39&rsquor;|1:0|Michael Ballack'],,,,,,,,,,,,,,,,"['66&rsquor;|1:0|Sebastian Kehl', '68&rsquor;|1:0|Jens Jeremies']","['40&rsquor;|1:0|Eddie Lewis', '41&rsquor;|1:0|Eddie Pope', '68&rsquor;|1:0|Claudio Reyna', '69&rsquor;|1:0|Pablo Mastroeni', '70&rsquor;|1:0|Gregg Berhalter']","['60&rsquor;|1:0|Jens Jeremies|for Bernd Schneider', '80&rsquor;|1:0|Marco Bode|for Oliver Neuville', '88&rsquor;|1:0|Oliver Bierhoff|for Miroslav Klose']","['8&rsquor;|0:0|Earnie Stewart|for Pablo Mastroeni', '58&rsquor;|1:0|Clint Mathis|for Brian McBride', '65&rsquor;|1:0|Cobi Jones|for Frankie Hejduk']"
Japan,Türkiye,0,1,45666,"Miyagi Stadium, Rifu",Round of 16,18-06-2002,0–1,"Korea Republic, Japan",2002,Ümit Davala · 12,,['12&rsquor;|0:1|Ümit Davala'],,,,,,,,,,,,,,,['45&rsquor;|0:1|Kazuyuki Toda'],"['21&rsquor;|0:1|Alpay Özalan', '44&rsquor;|0:1|Ergün Penbe', '90+1&rsquor;|0:1|Hakan Şükür']","['46&rsquor;|0:1|Daisuke Ichikawa|for Junichi Inamoto', '46&rsquor;|0:1|Takayuki Suzuki|for Alessandro Santos', '86&rsquor;|0:1|Hiroaki Morishima|for Daisuke Ichikawa']","['74&rsquor;|0:1|Nihat Kahveci|for Ümit Davala', '85&rsquor;|0:1|Tayfur Havutçu|for Hasan Şaş', '90&rsquor;|0:1|İlhan Mansız|for Yıldıray Baştürk']"
Korea Republic,Italy,2,1,38588,"Daejeon World Cup Stadium, Daejeon",Round of 16,18-06-2002,2–1,"Korea Republic, Japan",2002,Christian Vieri · 18,"['88&rsquor;|1:1|Seol Ki-hyeon', '117&rsquor;|2:1|Ahn Jung-hwan']",['18&rsquor;|0:1|Christian Vieri'],,,,,,,,,,,,,,Francesco Totti · 103,"['17&rsquor;|0:0|Kim Tae-young', '80&rsquor;|0:1|Song Chong-gug', '99&rsquor;|1:1|Lee Chun-soo', '117&rsquor;|1:1|Choi Jin-cheul']","['4&rsquor;|0:0|Francesco Coco', '22&rsquor;|0:1|Francesco Totti', '55&rsquor;|0:1|Damiano Tommasi', '59&rsquor;|0:1|Cristiano Zanetti']","['63&rsquor;|0:1|Hwang Sun-hong|for Kim Tae-young', '68&rsquor;|0:1|Lee Chun-soo|for Kim Nam-il', '83&rsquor;|0:1|Cha Du-ri|for Hong Myung-bo']","['61&rsquor;|0:1|Gennaro Gattuso|for Alessandro Del Piero', '72&rsquor;|0:1|Angelo Di Livio|for Gianluca Zambrotta']"
Mexico,United States,0,2,36380,"Jeonju World Cup Stadium, Jeonju",Round of 16,17-06-2002,0–2,"Korea Republic, Japan",2002,Brian McBride · 8|Landon Donovan · 65,,"['8&rsquor;|0:1|Brian McBride', '65&rsquor;|0:2|Landon Donovan']",,,,,,,,,,,Rafael Márquez · 88,,,,"['37&rsquor;|0:1|Manuel Vidrio', '67&rsquor;|0:2|Luis Hernández', '70&rsquor;|0:2|Cuauhtémoc Blanco', '81&rsquor;|0:2|Alberto García Aspe', '84&rsquor;|0:2|Salvador Carmona']","['26&rsquor;|0:1|Eddie Pope', '47&rsquor;|0:1|Pablo Mastroeni', '50&rsquor;|0:1|Josh Wolff', '53&rsquor;|0:1|Gregg Berhalter', '83&rsquor;|0:2|Brad Friedel']","['28&rsquor;|0:1|Luis Hernández|for Ramón Morales', '46&rsquor;|0:1|Sigifredo Mercado|for Manuel Vidrio', '78&rsquor;|0:2|Alberto García Aspe|for Gerardo Torrado']","['59&rsquor;|0:1|Earnie Stewart|for Josh Wolff', '79&rsquor;|0:2|Cobi Jones|for Brian McBride', '90&rsquor;|0:2|Carlos Llamosa|for Pablo Mastroeni']"
Brazil,Belgium,2,0,40440,"NOEVIR Stadium Kobe, Kobe",Round of 16,17-06-2002,2–0,"Korea Republic, Japan",2002,,"['67&rsquor;|1:0|Rivaldo', '87&rsquor;|2:0|Ronaldo']",,,,,,,,,,,,,,,,['28&rsquor;|0:0|Roberto Carlos'],['24&rsquor;|0:0|Yves Vanderhaeghe'],"['57&rsquor;|0:0|Denílson|for Juninho Paulista', '81&rsquor;|1:0|José Kléberson|for Ronaldinho', '90&rsquor;|2:0|Ricardinho|for Rivaldo']",['72&rsquor;|1:0|Wesley Sonck|for Jacky Peeters']
Sweden,Senegal,1,2,39747,"Ōita Bank Dome, Ōita",Round of 16,16-06-2002,1–2,"Korea Republic, Japan",2002,Henri Camara · 37|Henri Camara · 104,['11&rsquor;|1:0|Henrik Larsson'],"['37&rsquor;|1:1|Henri Camara', '104&rsquor;|1:2|Henri Camara']",,,,,,,,,,,,,,,,"['73&rsquor;|1:1|Ferdinand Coly', '94&rsquor;|1:1|Pape Thiaw']","['65&rsquor;|1:1|Andreas Andersson|for Marcus Allbäck', '76&rsquor;|1:1|Zlatan Ibrahimović|for Niclas Alexandersson', '99&rsquor;|1:1|Mattias Jonson|for Magnus Svensson']",['66&rsquor;|1:1|Habib Beye|for Pape Malick Diop']
Spain,Republic of Ireland,1,1,38926,"Suwon World Cup Stadium, Suwon",Round of 16,16-06-2002,(3) 1–1 (2),"Korea Republic, Japan",2002,,['8&rsquor;|1:0|Fernando Morientes'],,,,,Robbie Keane (P) · 90,,,"['2|1:1|Fernando Hierro', '4|2:1|Rubén Baraja', '10|3:2|Gaizka Mendieta']","['1|0:1|Robbie Keane', '9|2:2|Steve Finnan']","['6|2:1|Juanfran', '8|2:1|Juan Carlos Valerón']","['3|1:1|Matt Holland', '5|2:1|David Connolly', '7|2:1|Kevin Kilbane']",,,,,"['62&rsquor;|1:0|Juanfran', '87&rsquor;|1:0|Rubén Baraja', '89&rsquor;|1:0|Fernando Hierro']",,"['66&rsquor;|1:0|Gaizka Mendieta|for Javier de Pedro', '72&rsquor;|1:0|David Albelda|for Fernando Morientes', '80&rsquor;|1:0|Albert Luque|for Raúl']","['50&rsquor;|1:0|Kenny Cunningham|for Steve Staunton', '55&rsquor;|1:0|Niall Quinn|for Gary Kelly', '82&rsquor;|1:0|David Connolly|for Ian Harte']"
Germany,Paraguay,1,0,25176,"Jeju World Cup Stadium, Jeju",Round of 16,15-06-2002,1–0,"Korea Republic, Japan",2002,,['88&rsquor;|1:0|Oliver Neuville'],,,,,,,,,,,,,Roberto Acuña · 90+2,,,"['35&rsquor;|0:0|Bernd Schneider', '71&rsquor;|0:0|Frank Baumann', '90+2&rsquor;|1:0|Michael Ballack']","['26&rsquor;|0:0|Roberto Acuña', '50&rsquor;|0:0|José Cardozo']","['46&rsquor;|0:0|Frank Baumann|for Christoph Metzelder', '46&rsquor;|0:0|Sebastian Kehl|for Marko Rehmer', '90&rsquor;|1:0|Gerald Asamoah|for Oliver Neuville']","['29&rsquor;|0:0|Jorge Luis Campos|for Roque Santa Cruz', '84&rsquor;|0:0|Diego Gavilán|for Carlos Bonet', '90&rsquor;|1:0|Nelson Cuevas|for Estanislao Struway']"
Denmark,England,0,3,40582,"Denka Big Swan Stadium, Niigata",Round of 16,15-06-2002,0–3,"Korea Republic, Japan",2002,Rio Ferdinand · 5|Michael Owen · 22|Emile Heskey · 44,,"['5&rsquor;|0:1|Rio Ferdinand', '22&rsquor;|0:2|Michael Owen', '44&rsquor;|0:3|Emile Heskey']",,,,,,,,,,,,,,,['24&rsquor;|0:2|Stig Tøfting'],['50&rsquor;|0:3|Danny Mills'],"['7&rsquor;|0:1|Kasper Bøgelund|for Thomas Helveg', '58&rsquor;|0:3|Claus Jensen|for Stig Tøfting']","['46&rsquor;|0:3|Robbie Fowler|for Michael Owen', '49&rsquor;|0:3|Kieron Dyer|for Paul Scholes', '69&rsquor;|0:3|Teddy Sheringham|for Emile Heskey']"
