Name,Unnamed: 0_2010,Unnamed: 0_2014,Unnamed: 0_2018,Unnamed: 0_2022,ID_2010,ID_2014,ID_2018,ID_2022,Formation_2010,Formation_2014,Formation_2018,Formation_2022,Overall_2010,Overall_2014,Overall_2018,Overall_2022,Attack_2010,Attack_2014,Attack_2018,Attack_2022,Midfield_2010,Midfield_2014,Midfield_2018,Midfield_2022,Defence_2010,Defence_2014,Defence_2018,Defence_2022,Speed_2010,Speed_2014,Speed_2018,Speed_2022,Dribbling_2010,Dribbling_2014,Dribbling_2018,Dribbling_2022,Passing_2010,Passing_2014,Passing_2018,Passing_2022,Positioning_2010,Positioning_2014,Positioning_2018,Positioning_2022,Crossing_2010,Crossing_2014,Crossing_2018,Crossing_2022,Passing.1_2010,Passing.1_2014,Passing.1_2018,Passing.1_2022,Shooting_2010,Shooting_2014,Shooting_2018,Shooting_2022,Positioning.1_2010,Positioning.1_2014,Positioning.1_2018,Positioning.1_2022,Aggression_2010,Aggression_2014,Aggression_2018,Aggression_2022,Pressure_2010,Pressure_2014,Pressure_2018,Pressure_2022,Defender line_2010,Defender line_2014,Defender line_2018,Defender line_2022,Domestic prestige_2010,Domestic prestige_2014,Domestic prestige_2018,Domestic prestige_2022,International prestige_2010,International prestige_2014,International prestige_2018,International prestige_2022,Players_2010,Players_2014,Players_2018,Players_2022,Starting XI average age_2010,Starting XI average age_2014,Starting XI average age_2018,Starting XI average age_2022,Whole team average age_2010,Whole team average age_2014,Whole team average age_2018,Whole team average age_2022,Unnamed: 24_2010,Unnamed: 24_2014,Unnamed: 24_2018,Unnamed: 24_2022,Rank,Total Points,Previous Points,+/-,Match window,Appearances,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
china pr  afc,,,,,1413,,1413,1413,4-4-1-1 Attack,,4-3-3 Holding,4-4-2 Flat,66,,69,69,63,,67,70,64,,68,69,64,,68,67,Fast,,Balanced,Slow,Little,,Normal,Little,Long,,Mixed,Short,Organised,,Organised,Organised,Normal,,Lots,Little,Normal,,Normal,Safe,Lots,,Normal,Little,Organised,,Organised,Organised,Double,,Press,Contain,High,,Medium,Deep,Cover,,Cover,Cover,20,,10,10,4,,3,3,30,,23,23,26.55,,27.91,29.36,26.93,,26.61,29.13,,,,,,,,,,,,,,,,,,
colombia  conmebol,,,,,,111109,111109,,,4-4-2 Flat,4-2-2-2,,,77,79,,,77,81,,,78,77,,,75,78,,,Balanced,Fast,,,Lots,Normal,,,Mixed,Mixed,,,Organised,Organised,,,Normal,Normal,,,Normal,Risky,,,Normal,Lots,,,Organised,Organised,,,Press,Press,,,Medium,Medium,,,Cover,Cover,,,20,10,,,6,7,,,23,23,,,26.73,26.64,,,26.17,26.48,,,,,,,,,,,,,,,,,,,
croatia  uefa,,,,,1328,,,,4-1-2-1-2 Wide,,,,78,,,,77,,,,74,,,,73,,,,Fast,,,,Little,,,,Mixed,,,,Organised,,,,Little,,,,Risky,,,,Normal,,,,Free form,,,,Press,,,,Medium,,,,Offside trap,,,,20,,,,13,,,,30,,,,26.82,,,,26.37,,,,,,,,,,,,,,,,,,,,,
czechia  uefa,,,,,1330,1330,1330,1330,4-1-2-1-2 Wide,4-2-3-1 Wide,4-4-2 Flat,3-4-2-1,78,75,75,77,73,73,75,79,74,74,74,76,74,73,73,76,Balanced,Balanced,Fast,Slow,Little,Normal,Normal,Little,Long,Mixed,Long,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Risky,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Double,Contain,High,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,15,14,5,5,30,23,23,23,26.91,26.36,25.09,25.18,27.73,27.0,24.83,25.78,,,,,,,,,,,,,,,,,,
côte d'ivoire  caf,,,,,,111112,111112,,,4-3-3 Attack,4-3-3 Defend,,,76,77,,,77,76,,,74,78,,,74,77,,,Balanced,Fast,,,Normal,Normal,,,Mixed,Long,,,Organised,Organised,,,Lots,Normal,,,Normal,Risky,,,Normal,Lots,,,Organised,Organised,,,Press,Double,,,Medium,Medium,,,Cover,Cover,,,20,10,,,11,6,,,23,23,,,27.55,24.73,,,25.96,25.35,,,,,,,,,,,,,,,,,,,
denmark  uefa,,,,,1331,1331,1331,1331,4-4-1-1 Attack,4-2-3-1 Wide,4-3-3 Attack,4-2-3-1 Wide,75,74,77,78,72,75,76,77,72,74,79,79,74,74,75,78,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Risky,Safe,Normal,Normal,Normal,Little,Organised,Organised,Organised,Organised,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12,12,5,6,30,23,23,23,27.64,24.09,26.45,27.09,27.0,25.0,25.74,26.52,,,,,,,,,,,,,,,,,,
ecuador  conmebol,,,,,111465,111465,111465,,4-4-1-1 Attack,4-4-1-1 Midfield,4-4-2 Flat,,72,72,72,,67,73,70,,69,73,71,,65,67,73,,Fast,Balanced,Balanced,,Little,Lots,Lots,,Mixed,Mixed,Mixed,,Organised,Organised,Organised,,Normal,Normal,Lots,,Normal,Normal,Safe,,Lots,Normal,Lots,,Organised,Organised,Organised,,Press,Press,Press,,Medium,Medium,Medium,,Cover,Cover,Cover,,20,20,10,,9,7,5,,30,23,23,,28.18,26.0,26.82,,27.83,26.3,25.91,,,,,,,,,,,,,,,,,,,
egypt  caf,,,,,,111130,111130,,,4-2-3-1 Wide,4-2-3-1 Wide,,,69,72,,,70,68,,,67,75,,,64,71,,,Balanced,Balanced,,,Normal,Normal,,,Mixed,Mixed,,,Organised,Organised,,,Normal,Normal,,,Normal,Normal,,,Normal,Little,,,Organised,Organised,,,Press,Press,,,Medium,Medium,,,Cover,Cover,,,20,10,,,10,5,,,23,23,,,25.18,26.18,,,27.17,26.74,,,,,,,,,,,,,,,,,,,
england  uefa,,,,,1318,1318,1318,1318,4-2-3-1 Narrow,4-4-2 Flat,5-2-1-2,4-3-3 Attack,83,80,82,83,81,85,84,85,84,79,81,83,82,78,81,82,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Lots,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,17,17,8,8,30,23,23,23,27.55,22.91,25.0,26.09,26.93,23.91,24.65,24.43,,,,,,,,,,,,,,,,,,
finland  uefa,,,,,1334,1334,1334,1334,4-4-1-1 Attack,4-5-1 Attack,4-4-1-1 Attack,5-3-2,72,69,70,71,67,68,71,72,69,71,69,72,70,69,66,67,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Normal,Normal,Lots,Little,Organised,Organised,Organised,Organised,Double,Contain,Contain,Contain,Medium,Deep,Deep,Deep,Cover,Cover,Cover,Cover,20,20,10,10,6,6,3,3,30,23,23,23,28.82,26.73,23.82,27.91,27.7,25.13,25.26,27.35,,,,,,,,,,,,,,,,,,
france  uefa,,,,,1335,1335,1335,1335,4-2-3-1 Narrow,4-3-3 Holding,4-2-3-1 Wide,3-5-2,83,81,84,85,82,82,82,85,82,80,85,86,82,80,82,83,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Short,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Risky,Normal,Safe,Safe,Little,Normal,Normal,Little,Organised,Organised,Organised,Organised,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,19,18,9,10,30,23,23,23,26.55,25.09,24.36,27.36,26.17,24.91,24.57,25.96,,,,,,,,,,,,,,,,,,
germany  uefa,,,,,1337,1337,1337,1337,4-2-3-1 Narrow,4-3-3 Attack,4-2-3-1 Wide,4-2-3-1 Wide,82,83,85,85,81,82,84,83,79,84,85,85,79,78,85,81,Fast,Fast,Slow,Slow,Little,Little,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Safe,Safe,Lots,Normal,Little,Little,Organised,Free form,Free form,Organised,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,19,19,10,10,30,23,23,23,25.55,23.91,26.55,25.64,24.8,23.91,24.96,25.78,,,,,,,,,,,,,,,,,,
greece  uefa,,,,,1338,1338,1338,1338,3-4-2-1,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Flat,76,74,76,73,76,76,78,72,75,72,74,75,74,76,77,73,Balanced,Balanced,Fast,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Long,Short,Organised,Organised,Organised,Organised,Lots,Normal,Lots,Little,Safe,Normal,Risky,Safe,Little,Normal,Lots,Little,Organised,Organised,Organised,Organised,Contain,Press,Contain,Contain,Deep,Deep,Deep,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,13,13,6,6,27,23,23,23,27.0,25.64,28.09,25.45,26.63,25.17,26.04,25.0,,,,,,,,,,,,,,,,,,
hungary  uefa,,,,,1886,1886,1886,1886,4-2-3-1 Narrow,3-4-2-1,3-4-3 Flat,5-2-3,72,69,71,73,69,69,73,74,72,67,69,69,66,67,71,73,Fast,Balanced,Fast,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Lots,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Lots,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,7,7,4,4,29,23,23,23,26.73,26.09,27.0,26.27,27.38,24.61,26.57,26.04,,,,,,,,,,,,,,,,,,
iceland  uefa,,,,,,,1341,1341,,,4-4-1-1 Midfield,4-3-3 Flat,,,72,69,,,73,70,,,74,68,,,69,68,,,Balanced,Slow,,,Normal,Little,,,Mixed,Short,,,Organised,Organised,,,Normal,Little,,,Risky,Safe,,,Normal,Little,,,Organised,Organised,,,Double,Contain,,,Medium,Deep,,,Cover,Cover,,,10,10,,,2,2,,,23,23,,,29.27,24.82,,,27.78,25.61,,,,,,,,,,,,,,,,,,
india  afc,,,,,,111466,111466,,,4-4-2 Flat,4-4-2 Holding,,,57,60,,,59,62,,,54,58,,,53,58,,,Balanced,Balanced,,,Normal,Normal,,,Mixed,Mixed,,,Organised,Organised,,,Normal,Normal,,,Normal,Safe,,,Normal,Normal,,,Organised,Organised,,,Press,Contain,,,Deep,Medium,,,Cover,Cover,,,20,10,,,1,1,,,23,23,,,24.82,25.73,,,23.87,24.39,,,,,,,,,,,,,,,,,,,
italy  uefa,,,,,1343,1343,1343,1343,4-4-2 Flat,3-1-4-2,3-1-4-2,4-3-3 Flat,83,80,83,83,83,79,85,84,81,78,81,84,80,78,85,82,Fast,Balanced,Fast,Slow,Little,Normal,Normal,Little,Short,Mixed,Long,Short,Organised,Organised,Organised,Organised,Normal,Lots,Lots,Little,Normal,Normal,Normal,Safe,Normal,Normal,Lots,Little,Organised,Organised,Organised,Organised,Contain,Press,Contain,Contain,Deep,Deep,Deep,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,19,19,9,9,30,23,23,23,28.91,25.82,26.55,27.18,27.17,25.65,25.65,27.13,,,,,,,,,,,,,,,,,,
korea republic  afc,,,,,974,974,,,4-1-2-1-2 Wide,4-2-3-1 Wide,,,70,72,,,67,75,,,69,71,,,65,69,,,Fast,Balanced,,,Little,Normal,,,Mixed,Mixed,,,Organised,Organised,,,Normal,Normal,,,Normal,Risky,,,Lots,Normal,,,Organised,Organised,,,Press,Press,,,Medium,Medium,,,Cover,Cover,,,20,20,,,10,12,,,30,23,,,26.55,24.27,,,25.57,25.04,,,,,,,,,,,,,,,,,,,,
mexico  concacaf,,,,,1386,1386,1386,1386,4-2-3-1 Narrow,5-3-2,4-4-1-1 Midfield,4-3-3 Holding,77,74,78,77,73,78,79,79,74,73,79,78,74,72,75,74,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Risky,Normal,Safe,Normal,Normal,Lots,Little,Organised,Organised,Free form,Organised,Press,Press,Press,Contain,Medium,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,15,15,7,7,30,23,23,23,27.09,25.82,26.18,26.09,26.2,25.43,26.91,26.83,,,,,,,,,,,,,,,,,,
netherlands  uefa,,,,,105035,105035,105035,105035,4-2-3-1 Narrow,5-3-2,5-3-2,5-2-1-2,80,79,80,82,81,84,79,82,80,76,80,81,76,75,80,83,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Normal,Normal,Safe,Normal,Normal,Normal,Little,Organised,Free form,Free form,Organised,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,17,17,8,8,25,23,23,23,26.82,25.18,23.82,26.0,26.4,25.13,24.65,25.7,,,,,,,,,,,,,,,,,,
new zealand  ofc,,,,,111473,111473,111473,111473,4-3-3 Flat,4-3-3 False 9,4-3-3 Attack,4-3-3 Attack,62,65,66,68,60,65,71,69,57,55,65,67,58,64,64,68,Fast,Balanced,Fast,Slow,Little,Lots,Normal,Little,Long,Mixed,Long,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Normal,Risky,Safe,Lots,Little,Lots,Little,Organised,Organised,Organised,Organised,Double,Press,Double,Contain,High,Deep,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,6,6,2,2,30,23,23,23,29.18,22.73,25.18,25.09,25.97,24.17,23.96,24.65,,,,,,,,,,,,,,,,,,
northern ireland  uefa,,,,,110081,110081,110081,110081,4-4-2 Flat,4-4-1-1 Midfield,4-1-4-1,5-3-2,71,70,71,70,66,71,71,65,66,69,71,70,70,69,71,71,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Risky,Normal,Normal,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,High,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,5,5,2,2,30,23,23,23,27.27,27.18,28.18,28.55,25.43,26.35,27.09,27.39,,,,,,,,,,,,,,,,,,
norway  uefa,,,,,1352,1352,1352,1352,4-4-2 Flat,4-4-2 Flat,4-4-2 Flat,4-1-4-1,75,72,74,76,75,71,74,81,73,73,74,76,72,70,73,73,Fast,Fast,Fast,Slow,Little,Normal,Normal,Little,Long,Mixed,Long,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Normal,Risky,Risky,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,High,Deep,Medium,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,10,9,4,4,30,23,23,23,26.64,24.91,24.73,23.82,27.33,24.22,24.57,25.04,,,,,,,,,,,,,,,,,,
paraguay  conmebol,,,,,1375,1375,1375,,5-3-2,4-2-3-1 Wide,4-2-3-1 Wide,,75,74,75,,75,78,75,,70,73,75,,73,70,72,,Balanced,Slow,Balanced,,Little,Lots,Normal,,Mixed,Mixed,Mixed,,Organised,Organised,Organised,,Normal,Little,Normal,,Normal,Safe,Normal,,Lots,Normal,Normal,,Organised,Organised,Organised,,Press,Press,Press,,Medium,Deep,Medium,,Cover,Cover,Cover,,20,20,10,,8,8,4,,30,23,23,,28.09,30.73,27.73,,27.5,29.61,28.09,,,,,,,,,,,,,,,,,,,
peru  conmebol,,,,,,111108,111108,,,4-3-3 Flat,4-1-4-1,,,72,72,,,77,73,,,69,73,,,70,72,,,Balanced,Balanced,,,Normal,Normal,,,Mixed,Mixed,,,Organised,Organised,,,Normal,Lots,,,Normal,Normal,,,Normal,Normal,,,Organised,Organised,,,Press,Double,,,Medium,Medium,,,Cover,Cover,,,20,10,,,6,3,,,23,23,,,26.91,26.55,,,27.39,25.65,,,,,,,,,,,,,,,,,,,
poland  uefa,,,,,1353,1353,1353,1353,4-4-2 Flat,4-2-3-1 Wide,5-2-1-2,4-3-2-1,72,75,77,77,69,77,82,81,68,73,76,74,67,74,75,75,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Free form,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Normal,Normal,Normal,Little,Organised,Organised,Free form,Organised,Double,Press,Contain,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,11,5,5,29,23,23,23,27.36,26.18,27.0,26.73,26.97,24.96,26.52,26.65,,,,,,,,,,,,,,,,,,
portugal  uefa,,,,,1354,1354,1354,1354,4-3-3 Flat,4-3-3 Holding,4-1-3-2,4-3-3 Holding,82,80,82,84,77,82,85,85,81,79,82,83,79,80,80,85,Fast,Balanced,Balanced,Slow,Little,Normal,Lots,Little,Short,Short,Mixed,Short,Free form,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Safe,Normal,Safe,Lots,Normal,Normal,Little,Free form,Free form,Free form,Organised,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,16,16,8,8,30,23,23,23,27.82,27.45,27.09,29.09,27.1,25.48,26.91,27.35,,,,,,,,,,,,,,,,,,
republic of ireland  uefa,,,,,1355,1355,1355,1355,4-4-2 Flat,4-4-1-1 Midfield,4-2-3-1 Wide,5-2-3,75,73,75,73,72,75,75,69,74,75,74,73,73,73,75,74,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Normal,Safe,Safe,Lots,Normal,Lots,Little,Organised,Organised,Organised,Organised,Double,Press,Press,Contain,High,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,10,10,5,5,30,23,23,23,28.0,27.82,27.64,26.82,26.83,27.22,26.52,25.13,,,,,,,,,,,,,,,,,,
romania  uefa,,,,,1356,1356,1356,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,75,73,72,72,71,73,72,72,70,72,72,72,74,71,70,68,Fast,Balanced,Balanced,Slow,Little,Little,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Lots,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Organised,Organised,Organised,Organised,Press,Press,Press,Contain,Deep,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,10,10,5,5,30,23,23,23,27.27,26.09,27.09,27.45,27.23,26.17,26.04,25.52,,,,,,,,,,,,,,,,,,
russia  uefa,,,,,1357,1357,1357,,4-5-1 Attack,4-2-3-1 Wide,5-3-2,,80,77,78,,79,76,80,,77,75,78,,76,75,76,,Fast,Balanced,Balanced,,Little,Normal,Lots,,Mixed,Mixed,Mixed,,Free form,Organised,Organised,,Normal,Lots,Normal,,Risky,Risky,Normal,,Lots,Normal,Normal,,Free form,Organised,Organised,,Press,Press,Press,,Medium,Medium,Medium,,Cover,Cover,Cover,,20,20,10,,13,12,6,,29,23,23,,27.09,27.36,28.09,,26.17,26.09,27.35,,,,,,,,,,,,,,,,,,,
