Rank,Team,Total Points,Previous Points,+/-,Match window,Appearances,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,ID_2010,ID_2014,ID_2018,ID_2022,Formation_2010,Formation_2014,Formation_2018,Formation_2022,Overall_2010,Overall_2014,Overall_2018,Overall_2022,Attack_2010,Attack_2014,Attack_2018,Attack_2022,Midfield_2010,Midfield_2014,Midfield_2018,Midfield_2022,Defence_2010,Defence_2014,Defence_2018,Defence_2022,Speed_2010,Speed_2014,Speed_2018,Speed_2022,Dribbling_2010,Dribbling_2014,Dribbling_2018,Dribbling_2022,Passing_2010,Passing_2014,Passing_2018,Passing_2022,Positioning_2010,Positioning_2014,Positioning_2018,Positioning_2022,Crossing_2010,Crossing_2014,Crossing_2018,Crossing_2022,Passing.1_2010,Passing.1_2014,Passing.1_2018,Passing.1_2022,Shooting_2010,Shooting_2014,Shooting_2018,Shooting_2022,Aggression_2010,Aggression_2014,Aggression_2018,Aggression_2022,Pressure_2010,Pressure_2014,Pressure_2018,Pressure_2022,Defender line_2010,Defender line_2014,Defender line_2018,Defender line_2022,Domestic prestige_2010,Domestic prestige_2014,Domestic prestige_2018,Domestic prestige_2022,International prestige_2010,International prestige_2014,International prestige_2018,International prestige_2022,Players_2010,Players_2014,Players_2018,Players_2022,Starting XI average age_2010,Starting XI average age_2014,Starting XI average age_2018,Starting XI average age_2022,Whole team average age_2010,Whole team average age_2014,Whole team average age_2018,Whole team average age_2022,yc_2010,yc_2014,yc_2018,yc_2022,rc_2010,rc_2014,rc_2018,rc_2022,Points_2010,Points_2014,Points_2018,Points_2022
13,Colombia,1695.72,1692.1,3.62,DW,6,22,9,3,10,32,30,2,30,1358,111109,111109,1356,4-4-2 Flat,4-4-2 Flat,4-2-2-2,4-3-3 Holding,76.5,77,79,77,75,77,81,79,74,78,77,78,74,75,78,77,Fast,Balanced,Fast,Slow,Little,Lots,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Risky,Safe,Lots,Normal,Lots,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,6,7,6,30,23,23,23,26.865,26.73,26.64,26.45,26.35,26.17,26.48,26.26,5,5,9,9,0,0,1,1,5,5,12,12
14,Mexico,1682.52,1688.38,-5.86,DL,17,60,17,15,28,62,101,-39,66,1386,1386,1386,1386,4-2-3-1 Narrow,05-03-2002,4-4-1-1 Midfield,4-3-3 Holding,77,74,78,77,73,78,79,79,74,73,79,78,74,72,75,74,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Risky,Normal,Safe,Normal,Normal,Lots,Little,Press,Press,Press,Contain,Medium,Medium,High,Deep,Cover,Cover,Cover,Cover,20,20,10,10,15,15,7,7,30,23,23,23,27.09,25.82,26.18,26.09,26.2,25.43,26.91,26.83,9,8,9,7,10,10,5,7,9,8,9,7
15,Uruguay,1677.57,1673.65,3.92,WW,14,59,25,13,21,89,76,13,88,1377,1377,1377,1356,03-05-2002,4-4-2 Holding,4-4-2 Flat,4-3-3 Holding,78,76,81,77,76,82,86,79,70,75,76,78,74,76,79,77,Fast,Fast,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Free form,Organised,Organised,Organised,Lots,Little,Normal,Little,Normal,Normal,Risky,Safe,Lots,Lots,Normal,Little,Press,Press,Double,Contain,Deep,Deep,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,12,7,6,30,23,23,23,24.45,28.09,26.27,26.45,25.73,27.22,26.61,26.26,9,8,3,8,2,1,0,0,15,11,3,8
16,Usa,1673.49,1670.04,3.45,WD,11,37,9,8,20,40,66,-26,35,1387,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,74,75,77,77,72,76,79,79,71,74,77,78,70,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Free form,Organised,Organised,Organised,Normal,Normal,Normal,Little,Safe,Normal,Normal,Safe,Normal,Normal,Normal,Little,Press,Press,Press,Contain,High,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12,12,6,6,30,23,23,23,25.82,25.91,26.55,26.45,25.4,25.17,26.04,26.26,5,9,2,5,9,4,6,10,3,6,9,6
17,Switzerland,1653.32,1648.3,5.02,DW,12,41,14,8,19,55,73,-18,50,1364,1364,1364,1356,4-4-2 Flat,4-2-3-1 Narrow,4-2-3-1 Narrow,4-3-3 Holding,76,76,78,77,74,74,74,79,74,76,77,78,73,77,78,77,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Risky,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,11,5,6,30,23,23,23,26.55,23.64,26.64,26.45,25.7,24.17,25.7,26.26,8,3,9,9,1,0,1,0,11,3,12,9
18,Senegal,1650.61,1645.23,5.38,WW,3,12,5,3,4,16,17,-1,18,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,6,6,6,7,8,10,9,4,6,6,6,7
19,Japan,1645.34,1640.47,4.87,WD,7,25,7,6,12,25,33,-8,27,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,7,4,5,6,3,4,4,7,7,4,5,6
20,Denmark,1641.02,1627.64,13.38,WW,6,23,9,6,8,31,29,2,33,1331,1331,1331,1331,4-4-1-1 Attack,4-2-3-1 Wide,4-3-3 Attack,4-2-3-1 Wide,75,74,77,78,72,75,76,77,72,74,79,79,74,74,75,78,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Risky,Safe,Normal,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12,12,5,6,30,23,23,23,27.64,24.09,26.45,27.09,27,25,25.74,26.52,6,6,6,5,4,5,3,9,6,6,6,5
21,Iran,1618.28,1622.61,-4.33,WL,6,18,3,4,11,13,31,-18,13,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,4,4,7,7,1,6,8,7,4,4,7,7
22,Korea Republic,1593.92,1593.19,0.73,WL,11,38,7,10,21,39,78,-39,31,974,974,1363,1356,4-1-2-1-2 Wide,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,70,72,77,77,67,75,79,79,69,71,77,78,65,69,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Risky,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,10,12,6,6,30,23,23,23,26.55,24.27,26.55,26.45,25.57,25.04,26.04,26.26,6,5,4,7,5,9,10,6,10,6,8,10
23,Ecuador,1589.72,1588.04,1.68,DD,4,13,5,2,6,14,14,0,17,111465,111465,111465,1356,4-4-1-1 Attack,4-4-1-1 Midfield,4-4-2 Flat,4-3-3 Holding,72,72,72,77,67,73,70,79,69,73,71,78,65,67,73,77,Fast,Balanced,Balanced,Slow,Little,Lots,Lots,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Lots,Little,Normal,Normal,Safe,Safe,Lots,Normal,Lots,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,9,7,5,6,30,23,23,23,28.18,26,26.82,26.45,27.83,26.3,25.91,26.26,5,5,4,3,1,1,0,0,8,8,5,3
24,Austria,1586.98,1601.86,-14.88,LW,7,29,12,4,13,43,47,-4,40,1322,1322,1322,1322,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-2-3-1 Narrow,73,73,77,77,71,72,80,79,67,74,77,78,70,71,75,77,Fast,Balanced,Balanced,Slow,Little,Lots,Little,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Normal,Normal,Normal,Little,Double,Press,Double,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,10,10,4,4,30,23,23,23,23.45,25,25.91,26.55,23.97,24.61,24.74,26.61,7,1,2,4,5,10,2,1,5,10,9,8
25,Australia,1584.02,1583.49,0.53,LW,6,20,4,4,12,17,37,-20,16,1415,1415,1415,1415,4-2-3-1 Narrow,4-2-3-1 Wide,4-2-3-1 Wide,4-2-3-1 Narrow,75,69,73,70,71,72,69,75,71,70,73,69,68,65,71,70,Fast,Balanced,Balanced,Slow,Little,Normal,Little,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Lots,Normal,Little,Risky,Safe,Normal,Safe,Lots,Little,Normal,Little,Double,Press,Double,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,11,5,5,30,23,23,23,30.36,25.91,25.45,27.27,27.5,24.91,26.26,27.48,7,6,7,7,2,0,0,0,13,6,7,7
26,Tã¼Rkiye,1570.18,1555.72,14.46,WW,2,10,5,1,4,20,17,3,16,1365,1365,1365,1356,4-4-2 Flat,4-4-2 Flat,4-2-3-1 Wide,4-3-3 Holding,78,78,76,77,77,76,78,79,77,79,77,78,74,76,74,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Risky,Normal,Safe,Safe,Lots,Normal,Normal,Little,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,14,14,6,6,30,23,23,23,26.91,25.27,24.91,26.45,25.47,25.83,24.65,26.26,6,3,7,8,5,6,7,9,5,4,6,9
27,Ukraine,1555.36,1543.06,12.3,WW,1,5,2,1,2,5,7,-2,7,1366,1362,1363,1366,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-1-4-1,76,75,77,76,73,76,79,76,72,74,77,77,70,74,76,74,Balanced,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Long,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Double,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,14,12,6,6,30,23,23,23,25.82,25.91,26.55,25.64,26,25.17,26.04,26.35,4,9,4,7,9,6,3,8,8,10,9,10
28,Canada,1554.63,1558.04,-3.41,DL,2,6,0,0,6,2,12,-10,0,1358,1362,111455,111455,4-4-2 Flat,4-2-3-1 Wide,4-1-4-1,4-3-3 Defend,76.5,75,69,73,75,76,73,75,74,74,72,73,74,74,66,70,Fast,Balanced,Fast,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Long,Short,Organised,Organised,Organised,Organised,Normal,Normal,Lots,Little,Normal,Normal,Normal,Safe,Lots,Normal,Lots,Little,Press,Press,Contain,Contain,Medium,Medium,Deep,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,2,2,30,23,23,23,26.865,25.91,24.91,27.18,26.35,25.17,26.26,26.26,8,8,8,8,9,3,9,5,8,8,8,8
29,Norway,1532.14,1526.23,5.91,DW,3,8,2,3,3,7,8,-1,9,1352,1352,1352,1352,4-4-2 Flat,4-4-2 Flat,4-4-2 Flat,4-1-4-1,75,72,74,76,75,71,74,81,73,73,74,76,72,70,73,73,Fast,Fast,Fast,Slow,Little,Normal,Normal,Little,Long,Mixed,Long,Short,Organised,Organised,Organised,Organised,Lots,Normal,Normal,Little,Normal,Risky,Risky,Safe,Lots,Normal,Normal,Little,Double,Press,Press,Contain,High,Deep,Medium,Deep,Offside trap,Cover,Cover,Cover,20,20,10,10,10,9,4,4,30,23,23,23,26.64,24.91,24.73,23.82,27.33,24.22,24.57,25.04,8,3,4,9,3,5,5,8,1,6,5,7
30,Russia,1530.95,1521.74,9.21,WW,11,45,19,10,16,77,54,23,67,1357,1357,1357,1356,4-5-1 Attack,4-2-3-1 Wide,05-03-2002,4-3-3 Holding,80,77,78,77,79,76,80,79,77,75,78,78,76,75,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Lots,Little,Mixed,Mixed,Mixed,Short,Free form,Organised,Organised,Organised,Normal,Lots,Normal,Little,Risky,Risky,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,13,12,6,6,29,23,23,23,27.09,27.36,28.09,26.45,26.17,26.09,27.35,26.26,4,4,6,6,0,0,1,1,4,4,9,9
31,Panama,1528.21,1529.71,-1.5,DW,1,3,0,0,3,2,11,-9,0,1358,1362,1363,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,75,77,77,75,76,79,79,74,74,77,78,74,74,76,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Normal,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,12,6,6,30,23,23,23,26.865,25.91,26.55,26.45,26.35,25.17,26.04,26.26,11,11,11,11,10,1,3,3,11,11,11,11
32,Egypt,1525.31,1519.18,6.13,WW,3,7,0,2,5,5,12,-7,2,1358,111130,111130,1356,4-4-2 Flat,4-2-3-1 Wide,4-2-3-1 Wide,4-3-3 Holding,76.5,69,72,77,75,70,68,79,74,67,75,78,74,64,71,77,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Organised,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Lots,Normal,Little,Little,Press,Press,Press,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,12.5,10,5,6,30,23,23,23,26.865,25.18,26.18,26.45,26.35,27.17,26.74,26.26,5,5,5,5,10,9,10,9,5,5,5,5
33,Poland,1523.84,1517.3,6.54,WW,9,38,17,6,15,49,50,-1,57,1353,1353,1353,1353,4-4-2 Flat,4-2-3-1 Wide,5-2-1-2,4-3-2-1,72,75,77,77,69,77,82,81,68,73,76,74,67,74,75,75,Fast,Balanced,Balanced,Slow,Little,Normal,Normal,Little,Mixed,Mixed,Mixed,Short,Organised,Organised,Free form,Organised,Normal,Normal,Normal,Little,Normal,Normal,Normal,Safe,Normal,Normal,Normal,Little,Double,Press,Contain,Contain,Medium,Medium,Medium,Deep,Cover,Cover,Cover,Cover,20,20,10,10,11,11,5,5,29,23,23,23,27.36,26.18,27,26.73,26.97,24.96,26.52,26.65,3,3,3,7,7,6,9,3,3,3,3,7
